# S&P 500 Index ($SPX) downloaded from https://www.barchart.com/stocks/quotes/$SPX on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [$K]",Volume,Price,Earnings,Price/Earnings,Dividend
HRL,"Hormel Foods Corp","Consumer Staples","Food - Meat Products",NYSE,Yes,26235740,1895700,48.62,1.71,29.26,0.233
HSIC,"Henry Schein Inc",Medical,"Medical - Dental Suppliers",NASDAQ,Yes,8848761,971100,61.98,2.81,23.35,N/A
HST,"Host Marriott Financial Trust",Finance,"REIT - Equity Trust Other",NYSE,Yes,7369998,7829300,10.45,0.12,14.88,0.200
HSY,"Hershey Foods Corp","Consumer Staples","Food - Confectionery",NYSE,Yes,28748640,858200,138.20,5.83,24.44,0.804
HUM,"Humana Inc",Medical,"Medical - HMO",NYSE,Yes,54670076,652700,413.25,25.27,17.10,0.625
HWM,"Howmet Aerospace Inc","Industrial Products","Engineering & R&D Services",NYSE,Yes,7274849,2485700,16.68,2.05,8.55,3.750
IBM,"International Business Machines","Computers and Technology","Computer - Integrated Systems",NYSE,Yes,94980248,9427300,106.65,11.31,9.78,1.630
ICE,"Intercontinental Exchange",Finance,"Securities Exchanges",NYSE,Yes,50906516,3170400,93.77,4.36,22.38,0.300
IDXX,"Idexx Laboratories",Medical,"Medical Instruments",NASDAQ,Yes,35968912,475800,422.89,5.29,83.77,N/A
IEX,"Idex Corp","Industrial Products","Machinery - General Industrial",NYSE,Yes,13030761,1124900,172.57,5.28,36.05,0.500
IFF,"International Flavors & Fragrances","Consumer Staples","Consumer Prdts - Misc Staple",NYSE,Yes,10847282,2476900,101.44,5.97,17.69,0.770
ILMN,"Illumina Inc",Medical,"Medical - Biomedical",NASDAQ,Yes,45214740,1248400,309.69,5.89,54.62,N/A
INCY,"Incyte Corp",Medical,"Medical - Biomedical",NASDAQ,Yes,19024626,1178600,86.99,-0.89,0.00,N/A
INFO,"IHS Markit Ltd","Business Services","Business Information",NYSE,Yes,31737262,2315400,79.67,2.29,35.50,0.170
INTC,"Intel Corp","Computers and Technology","Semi General",NASDAQ,Yes,181336496,45066000,44.25,5.31,8.60,0.330
INTU,"Intuit Inc","Computers and Technology","Computer - Software",NASDAQ,Yes,83388152,948400,318.51,6.65,49.66,0.590
IP,"International Paper Company","Basic Materials","Paper & Related Products",NYSE,Yes,16902998,3555000,43.00,3.52,12.61,0.512
IPG,"Interpublic Group of Companies","Business Services","Advertising Marketing Services",NYSE,Yes,6954325,6317600,17.83,1.75,10.77,0.255
IPGP,"Ipg Photonics Corp","Computers and Technology","Lasers - Systems & Components",NASDAQ,Yes,9873313,384000,185.39,3.30,61.15,0.650
IQV,"Iqvia Holdings Inc","Business Services","Technology Services",NYSE,Yes,29853656,1400200,155.71,5.53,28.78,N/A
IR,"Ingersoll Rand Inc","Industrial Products","Machinery - General Industrial",NYSE,Yes,14697160,1918000,35.24,-0.24,0.00,N/A
IRM,"Iron Mountain Inc",Finance,"REIT - Equity Trust Other",NYSE,Yes,7592700,2784200,26.35,0.94,11.31,0.618
ISRG,"Intuitive Surg Inc",Medical,"Medical Instruments",NASDAQ,Yes,80854328,563900,687.80,8.78,82.11,N/A
IT,"Gartner Inc","Business Services",Consulting,NYSE,Yes,10480416,517600,117.45,4.28,28.49,1.195
ITW,"Illinois Tool Works Inc","Industrial Products","Machinery - General Industrial",NYSE,Yes,60915124,1133500,192.67,6.57,30.23,1.140
IVZ,"Invesco Plc",Finance,"Finance - Investment Mgmt",NYSE,Yes,6120683,6713600,13.33,2.03,7.51,0.155
J,"Jacobs Engineering Group Inc","Industrial Products","Engineering & R&D Services",NYSE,Yes,12135385,674300,93.20,5.33,17.94,0.190
JBHT,"J B Hunt Transport",Transportation,"Transportation - Truck",NASDAQ,Yes,13038556,883600,123.58,4.65,27.17,0.270
